timestamps,events
1530746627.3794067,start
1530746649.5181863,high voltage
1530746652.018546,low voltage
1530746654.5188575,high voltage
1530746657.0192132,low voltage
1530746659.5195248,high voltage
1530746662.0199037,low voltage
1530746664.5207205,high voltage
1530746667.0216753,low voltage
1530746669.521987,high voltage
1530746672.0228636,low voltage
1530746674.5231748,high voltage
1530746677.0240157,low voltage
1530746679.5243282,high voltage
1530746682.0247242,low voltage
1530746684.5250359,high voltage
1530746687.0254078,low voltage
1530746689.525718,high voltage
1530746692.0265908,low voltage
1530746694.5269036,high voltage
1530746697.0272717,low voltage
1530746699.5275822,high voltage
1530746702.0284474,low voltage
1530746704.5287583,high voltage
1530746707.0296104,low voltage
1530746709.5299222,high voltage
1530746712.0302866,low voltage
1530746714.5305982,high voltage
1530746717.0314634,low voltage
1530746719.5318587,high voltage
1530746722.0326312,low voltage
1530746724.532944,high voltage
1530746727.0333085,low voltage
1530746729.533619,high voltage
1530746732.0339782,low voltage
1530746734.5342877,high voltage
1530746737.035668,low voltage
1530746739.5359814,high voltage
1530746742.0368493,low voltage
1530746744.5371616,high voltage
1530746747.037554,low voltage
