timestamps,TP9,AF7,AF8,TP10,Right AUX
1530597920.381,-15.137,7.324,57.129,27.344,-619.629
1530597920.385,102.051,67.871,-59.082,145.996,-45.898
1530597920.389,45.410,41.016,-11.230,91.797,722.656
1530597920.393,-74.707,-14.648,125.000,-26.855,316.406
1530597920.396,-45.898,-4.395,109.375,-0.977,-293.945
1530597920.400,83.984,41.504,-41.504,130.859,552.246
1530597920.404,79.102,41.016,-44.434,121.094,-936.523
1530597920.408,-50.293,-5.371,88.867,-13.672,420.898
1530597920.412,-79.102,-14.160,116.699,-40.527,-347.656
1530597920.416,56.152,44.434,-17.090,99.121,-111.328
1530597920.420,108.398,66.895,-71.777,144.043,298.340
1530597920.424,-10.254,12.207,41.016,15.137,7.324
1530597920.428,-76.660,-16.602,128.418,-44.434,-177.246
1530597920.432,23.926,29.297,28.320,62.500,-128.906
1530597920.436,103.027,60.547,-70.312,129.883,244.141
1530597920.439,17.578,18.555,14.160,43.457,12.695
1530597920.443,-90.820,-20.508,142.578,-49.805,-334.961
1530597920.447,-25.879,14.160,75.195,28.320,464.355
1530597920.451,94.238,62.012,-70.801,137.695,978.027
1530597920.455,48.828,38.574,-28.809,75.195,222.168
1530597920.459,-74.707,-9.277,112.793,-45.410,-453.125
1530597920.463,-48.828,-0.977,104.980,-11.230,6.348
1530597920.467,80.566,54.199,-38.574,124.023,486.328
1530597920.471,83.984,59.082,-45.410,112.793,-96.680
1530597920.475,-42.969,-4.395,84.473,-17.090,-381.348
1530597920.478,-75.195,-22.461,126.465,-33.203,308.105
1530597920.482,54.199,48.828,2.930,93.262,378.418
1530597920.486,105.469,65.918,-61.523,126.465,-83.008
1530597920.490,-1.465,10.254,41.504,21.973,-43.945
1530597920.494,-77.637,-12.695,138.672,-37.598,574.219
1530597920.498,22.461,26.367,46.387,62.988,708.008
1530597920.502,121.094,59.082,-65.430,138.672,353.516
1530597920.506,33.203,28.809,7.812,55.664,453.613
1530597920.510,-84.961,-20.020,128.418,-41.992,854.492
1530597920.514,-23.438,1.465,73.730,11.230,114.746
1530597920.518,105.469,56.641,-58.105,124.023,-187.500
1530597920.521,71.777,37.598,-24.414,94.238,182.617
1530597920.525,-60.547,-16.602,116.699,-23.926,52.246
1530597920.529,-52.734,-7.812,125.000,-14.160,-193.359
1530597920.533,84.961,46.875,-40.527,115.723,-145.020
1530597920.537,100.098,52.734,-71.289,118.652,-72.266
1530597920.541,-35.645,8.301,67.383,-0.488,528.809
