timestamps,TP9,AF7,AF8,TP10,Right AUX
1530746652.785,-63.965,-13.672,104.492,-28.809,998.535
1530746652.789,-54.199,-20.508,137.695,-17.578,998.047
1530746652.793,70.801,58.105,-22.949,105.957,999.512
1530746652.797,85.449,79.102,-83.984,114.746,999.512
1530746652.801,-33.691,9.277,57.617,-4.395,999.023
1530746652.805,-75.195,-32.715,150.391,-43.457,999.023
1530746652.809,45.410,33.203,25.879,78.613,998.535
1530746652.813,109.863,89.844,-86.426,141.113,-999.023
1530746652.817,5.859,34.668,18.555,29.785,992.676
1530746652.820,-78.125,-30.273,150.879,-52.246,983.887
1530746652.824,9.277,11.230,68.359,42.969,995.117
1530746652.828,108.887,78.613,-76.172,138.184,999.512
1530746652.832,39.062,48.828,-24.902,61.523,-999.023
1530746652.836,-74.219,-25.879,123.535,-48.340,993.164
1530746652.840,-23.438,-6.836,103.516,5.371,986.816
1530746652.844,95.215,71.289,-46.875,116.211,998.047
1530746652.848,70.312,70.801,-62.012,87.891,-997.559
1530746652.852,-55.664,-4.883,84.961,-31.250,990.234
1530746652.856,-56.152,-22.461,139.160,-32.715,978.516
1530746652.860,74.219,52.246,-11.719,92.773,993.652
1530746652.863,92.773,79.590,-87.402,113.281,-995.605
1530746652.867,-26.367,13.672,49.316,-2.441,982.422
1530746652.871,-69.824,-28.809,150.879,-41.992,966.797
1530746652.875,40.527,28.809,36.133,71.289,988.281
1530746652.879,113.281,83.984,-84.961,139.648,-999.512
1530746652.883,17.090,38.574,2.930,43.945,984.863
1530746652.887,-75.195,-21.973,144.043,-42.969,941.406
1530746652.891,11.230,14.648,80.078,36.621,944.336
1530746652.895,115.723,78.613,-66.895,133.301,984.863
1530746652.899,49.805,51.270,-37.109,69.336,-1000.000
1530746652.902,-64.941,-20.020,111.816,-45.898,936.035
1530746652.906,-25.391,-12.207,119.141,-4.395,904.297
1530746652.910,93.262,62.012,-39.551,115.723,973.633
1530746652.914,77.148,74.707,-73.730,92.773,985.840
1530746652.918,-41.992,6.348,78.613,-22.461,942.871
1530746652.922,-53.223,-18.555,142.090,-28.809,881.836
1530746652.926,64.941,52.734,-1.953,87.402,924.316
1530746652.930,100.098,90.332,-88.379,118.164,991.699
1530746652.934,-13.184,26.855,39.062,8.301,959.961
1530746652.938,-76.660,-29.297,151.855,-47.852,880.859
1530746652.942,31.250,22.949,47.852,56.641,891.602
1530746652.945,112.793,82.031,-78.613,137.695,965.820
1530746652.949,27.344,40.527,-1.953,54.688,959.473
1530746652.953,-68.359,-23.438,142.090,-41.992,882.812
1530746652.957,-1.953,3.418,87.891,28.320,864.258
1530746652.961,103.516,75.195,-70.801,134.766,954.102
1530746652.965,56.641,61.035,-52.246,86.914,948.730
1530746652.969,-61.035,-11.719,104.492,-28.809,858.887
1530746652.973,-38.574,-12.207,128.418,-1.465,830.078
1530746652.977,89.355,58.594,-29.297,119.629,894.043
1530746652.981,84.473,68.359,-79.102,113.281,917.969
1530746652.984,-49.805,-4.883,69.824,-10.254,880.859
1530746652.988,-78.125,-29.297,145.020,-39.062,842.773
1530746652.992,46.387,43.945,3.906,78.613,865.723
1530746652.996,96.191,82.520,-84.473,123.047,918.457
1530746653.000,-13.672,20.996,34.180,15.625,876.465
1530746653.004,-90.332,-30.762,144.531,-53.711,773.926
1530746653.008,10.254,17.578,50.781,45.410,780.762
1530746653.012,99.609,77.148,-83.496,126.465,885.254
1530746653.016,17.578,44.434,-20.996,45.410,912.109
1530746653.020,-86.914,-24.902,127.930,-51.758,817.871
1530746653.024,-23.926,-0.488,97.656,13.184,770.020
1530746653.027,96.680,77.148,-61.523,124.023,848.145
1530746653.031,59.082,69.336,-60.059,82.031,892.578
1530746653.035,-65.430,-7.812,92.773,-34.180,828.613
1530746653.039,-55.176,-16.113,128.418,-23.438,774.414
